id,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,s1,s2,date
1,518.67,1.3,47.9,520.11,2388.23,8121.64,8.5091,0.03,395,2388,100,642.97,38.59,23.1789,1590.69,1425.27,14.62,21.61,552.13,2388.22,9048.82,-0.0032,0.0002,2022-03-16
1,518.67,1.3,48.0,520.22,2388.21,8119.17,8.4476,0.03,393,2388,100,642.64,38.57,23.0357,1599.81,1422.58,14.62,21.61,552.32,2388.22,9041.25,-0.0001,-0.0002,2022-03-17
1,518.67,1.3,47.86,520.38,2388.22,8125.76,8.488999999999999,0.03,394,2388,100,643.61,38.58,23.1573,1603.29,1422.52,14.62,21.61,551.64,2388.23,9042.66,0.0001,0.0002,2022-03-18
1,518.67,1.3,47.84,519.8,2388.2,8123.8,8.4853,0.03,394,2388,100,642.86,38.72,23.2491,1592.27,1422.73,14.62,21.61,551.91,2388.23,9045.74,-0.002,-0.0003,2022-03-19
1,518.67,1.3,48.03,520.24,2388.23,8120.11,8.4779,0.03,396,2388,100,643.79,38.63,23.1673,1602.02,1423.99,14.62,21.61,551.93,2388.25,9046.2,-0.0038,-0.0003,2022-03-20
1,518.67,1.3,48.0,520.2,2388.2,8116.56,8.477,0.03,395,2388,100,643.38,38.65,23.177,1605.33,1424.65,14.62,21.61,552.18,2388.23,9046.17,-0.0001,0.0002,2022-03-21
1,518.67,1.3,48.02,520.38,2388.18,8116.84,8.4947,0.03,395,2388,100,642.86,38.77,23.1888,1592.56,1429.45,14.62,21.61,551.57,2388.26,9044.23,0.0023,-0.0003,2022-03-22
1,518.67,1.3,47.85,519.84,2388.28,8122.57,8.4737,0.03,395,2388,100,643.58,38.86,23.007,1599.87,1417.14,14.62,21.61,552.91,2388.21,9039.33,-0.0024,0.0,2022-03-23
1,518.67,1.3,48.1,520.43,2388.23,8114.79,8.472000000000001,0.03,397,2388,100,643.44,38.34,23.1652,1596.71,1420.64,14.62,21.61,551.83,2388.23,9038.29,-0.0006,0.0005,2022-03-24
1,518.67,1.3,47.98,520.46,2388.25,8119.67,8.5158,0.03,397,2388,100,644.21,38.43,23.1787,1602.08,1426.62,14.62,21.61,551.9,2388.26,9041.23,-0.001,0.0003,2022-03-25
1,518.67,1.3,48.03,520.05,2388.23,8117.8,8.5041,0.03,396,2388,100,643.24,38.56,23.1302,1597.23,1419.03,14.62,21.61,551.38,2388.21,9040.94,0.0001,0.0001,2022-03-26
1,518.67,1.3,48.07,519.77,2388.28,8115.61,8.5133,0.03,395,2388,100,644.07,38.43,23.0146,1605.44,1432.52,14.62,21.61,551.0,2388.24,9047.91,0.0004,0.0003,2022-03-27
1,518.67,1.3,48.15,519.82,2388.27,8113.69,8.4984,0.03,395,2388,100,643.8,38.51,23.07,1603.46,1424.4,14.62,21.61,551.64,2388.29,9043.71,0.0008,0.0001,2022-03-28
1,518.67,1.3,48.12,520.08,2388.25,8123.45,8.5227,0.03,397,2388,100,643.51,38.47,23.0564,1595.16,1426.3,14.62,21.61,552.57,2388.21,9051.37,0.0027,-0.0003,2022-03-29
1,518.67,1.3,48.23,519.53,2388.28,8115.67,8.5218,0.03,396,2388,100,643.32,38.42,23.0822,1592.1,1427.27,14.62,21.61,551.08,2388.29,9037.71,-0.0047,0.0,2022-03-30
1,518.67,1.3,48.0,519.79,2388.23,8117.69,8.5207,0.03,396,2388,100,643.75,38.51,22.9588,1602.38,1422.78,14.62,21.61,551.94,2388.31,9037.91,-0.0067,0.0003,2022-03-31
1,518.67,1.3,48.08,519.58,2388.33,8117.51,8.5183,0.03,395,2388,100,644.18,38.48,23.1127,1596.17,1428.01,14.62,21.61,550.7,2388.27,9044.55,-0.0006,0.0002,2022-04-01
1,518.67,1.3,48.33,520.04,2388.35,8112.58,8.5223,0.03,398,2388,100,643.64,38.49,23.0675,1599.22,1425.95,14.62,21.61,551.29,2388.29,9040.58,-0.0027,0.0001,2022-04-02
1,518.67,1.3,48.15,519.57,2388.3,8114.61,8.5174,0.03,394,2388,100,643.34,38.45,23.1295,1602.36,1425.77,14.62,21.61,550.92,2388.28,9042.76,0.0,-0.0004,2022-04-03
1,518.67,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396,2388,100,643.54,38.48,22.9649,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,0.0009,0.0,2022-04-04
2,518.67,1.3,47.96,520.93,2388.15,8161.33,8.5129,0.03,395,2388,100,643.1,38.55,23.1937,1602.53,1419.61,14.62,21.61,552.1,2388.16,9085.07,0.0006,0.0,2022-03-16
2,518.67,1.3,48.09,519.74,2388.14,8159.05,8.5043,0.03,395,2388,100,643.11,38.71,22.9897,1594.52,1419.23,14.62,21.61,551.28,2388.2,9086.7,-0.0002,-0.0002,2022-03-17
2,518.67,1.3,48.04,520.35,2388.12,8158.1,8.5204,0.03,395,2388,100,643.12,38.59,23.1713,1604.32,1424.27,14.62,21.61,551.75,2388.2,9083.41,0.0005,-0.0002,2022-03-18
2,518.67,1.3,48.14,519.97,2388.21,8158.97,8.5014,0.03,395,2388,100,643.87,38.49,22.9721,1607.43,1425.06,14.62,21.61,551.73,2388.22,9088.84,0.0001,0.0002,2022-03-19
2,518.67,1.3,47.96,520.56,2388.2,8155.61,8.5126,0.03,395,2388,100,643.27,38.48,23.1781,1600.02,1426.7,14.62,21.61,552.44,2388.22,9085.04,-0.0004,0.0001,2022-03-20
2,518.67,1.3,47.88,519.72,2388.2,8163.69,8.5098,0.03,394,2388,100,643.71,38.53,23.1182,1598.88,1418.55,14.62,21.61,552.47,2388.15,9094.09,-0.0036,-0.0003,2022-03-21
